id,name,setting_group,is_premium_feature,is_developer_feature,is_scopeable_to_group,is_scopeable_to_project,is_scopeable_to_self,description
1,console.admin,general,FALSE,FALSE,FALSE,FALSE,FALSE,"special permission, can do anything on console, excepts dev features"
2,console.developer,general,FALSE,FALSE,FALSE,FALSE,FALSE,"special permission, can do anything on console, includes dev features"
3,company.admin,general,FALSE,FALSE,FALSE,FALSE,FALSE,"special permission, can do anything on its own company and its related companies"
4,company.user.login,company_user,FALSE,FALSE,FALSE,FALSE,FALSE,
5,company.user.logout,company_user,FALSE,FALSE,FALSE,FALSE,FALSE,
6,company.user.password.request,company_user,FALSE,FALSE,FALSE,FALSE,FALSE,send an email with reset token
7,company.user.password.reset,company_user,FALSE,FALSE,FALSE,FALSE,FALSE,reset password using token
8,company.user.profile.index,company_user,FALSE,FALSE,FALSE,FALSE,FALSE,
9,company.user.profile.update,company_user,FALSE,FALSE,FALSE,FALSE,FALSE,
10,company.dashboard.index,company_dashboard,FALSE,FALSE,FALSE,FALSE,FALSE,
11,company.notification.index,company_notification,FALSE,FALSE,FALSE,FALSE,FALSE,
12,company.invoice.pdf.index,company_invoice,FALSE,FALSE,FALSE,FALSE,FALSE,
13,company.invoice.pdf.download,company_invoice,FALSE,FALSE,FALSE,FALSE,FALSE,
14,company.invoice.csv.index,company_invoice,FALSE,FALSE,FALSE,FALSE,FALSE,
15,company.invoice.csv.download,company_invoice,FALSE,FALSE,FALSE,FALSE,FALSE,
16,company.ec2.instance.index,company_ec2,TRUE,FALSE,TRUE,TRUE,TRUE,
17,company.ec2.instance.start,company_ec2,TRUE,FALSE,TRUE,TRUE,TRUE,
18,company.ec2.instance.stop,company_ec2,TRUE,FALSE,TRUE,TRUE,TRUE,
19,company.ec2.instance.restart,company_ec2,TRUE,FALSE,TRUE,TRUE,TRUE,
20,company.ec2.instance.associate.ip,company_ec2,TRUE,FALSE,TRUE,TRUE,TRUE,
